no,name,category,description,member_count,day,period,room,3d_modeling,AI,STEM,academic,academic_support,aerospace,algorithms,animal_welfare,anime,anthropology,astronomy,badminton,baseball,basketball,billiards,biology,board_games,business,charity,cheerleading,chemistry,chinese_culture,climbing,coffee,community_service,competition,computer_science,craftsmanship,creative_arts,culture,cybersecurity,cycling,dance,data_science,debate,design,dodgeball,drones,economics,engineering,entrepreneurship,environment,equestrian,experiments,fashion,fencing,figure_skating,film,finance,fitness,food,football,forensic_science,frisbee,game_development,gaming,gender_studies,geography,geology,golf,hands_on,health,history,hobbies,humanities,investment,journalism,language_learning,law,linguistics,literature,machine_learning,magic,mahjong,martial_arts,math,media,medicine,mental_health,meteorology,motorsport,music,nutrition,outdoor_sports,peer_support,performing_arts,personal_growth,philosophy,photography,physics,pickleball,politics,programming,psychology,racquet_sports,rc_racing,religion,research,rhythm_games,robotics,rowing,running,scuba_diving,skiing,social_sciences,speedcubing,sports,strategy,swimming,table_tennis,tcg,tchoukball,teaching,team_sports,technology,tennis,theater,visual_arts,voice_acting,volleyball,volunteer,water_sports,web_development,wellness,winter_sports,writing,yoga
1,SCIE Buddhism Club,SOCIAL Interests and hobbies,"SCIE Buddhist Wisdom Club introduces classical Buddhist ideas in a simple and open way. Members study compassion, karma, anger, meditation, and emptiness through selected texts and school-life examples. Teachers and students can ask questions and join respectful discussions. People of all beliefs are welcome; no religious commitment is required.",1,tuesday,period11,A220,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,ACA Together,ACADEMIC Visual and performing arts,"A Cappella Club is a student-led vocal ensemble where members create music entirely through the human voice, without instrumental accompaniment. The club welcomes students with different levels of singing experience and provides a supportive environment for members to develop their vocal and performance skills. During weekly sessions, members will learn fundamental a cappella techniques, including vocal warm-ups, breathing, resonance, harmony, blending, rhythm, and ensemble listening. Members will be assigned suitable voice parts based on their vocal ranges and will work together to rehearse arrangements for school performances such as SGT and other events throughout the year. Beyond preparing for performances, the club aims to build a close and collaborative musical community. Through rehearsals, section practices, and performances, members will learn not only how to become more confident singers, but also how to listen, communicate, and contribute effectively as part of an ensemble.",1,thursday,period12,G117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,AI Ethics & Governance Roundtable,ACADEMIC Social sciences,"AI Ethics & Governance Roundtable is a source-based discussion and writing ECA for students interested in how artificial intelligence should be developed, regulated and used. Each meeting examines a concrete policy question through primary materials such as legislation, regulatory guidance, institutional frameworks, research papers and real cases. Topics may include risk-based AI regulation, transparency and labelling of AI-generated content, copyright and training data, algorithmic bias, biometric surveillance, education, open-source models, frontier-model safety and responsibility for automated decisions. Members will distinguish facts, legal requirements, ethical principles and stakeholder interests before joining a moderated roundtable. They will then write short position memos that state a claim, address counterarguments and propose an actionable policy. No prior legal or technical knowledge is required. The aim is not to reach one approved opinion, but to develop evidence-based judgment, careful disagreement and responsible public reasoning. By the end of the semester, members will produce a reviewed collection of position papers and present selected arguments in a public AI governance forum.",1,thursday,lunchtime,A206,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,0
4,Acupuncture & TCM,SOCIAL Interests and hobbies,"Our aim is to provide information about acupuncture and traditional Chinese medicines to students who are interested. We also teach the students how to diagnose and how to treat every-day injuries using a unique traditional Chinese method. Further more, we also do service learning by using our knowledge to benefit our community family, friends and social groups.",1,friday,lunchtime,A211,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,Aerodynamicists,ACADEMIC Technology and engineering,"The Aerodynamics Club is for students interested in understanding how air flows around objects and how these principles are applied in engineering. This semester, the club will introduce key topics such as fluid properties, pressure, viscosity, boundary layers, lift, drag, flow separation, and airfoil design. Sessions will combine short explanations with demonstrations, discussions, and practical activities so that members can connect physical theory with real aerodynamic applications. As the semester progresses, students will also be introduced to computational fluid dynamics (CFD), learning how computer simulations can be used to visualise and analyse airflow. Depending on members’ experience and interest, we will explore software such as OpenFOAM and PyFR and conduct simple aerodynamic modelling projects. No previous knowledge of aerodynamics or coding is required. The club is designed to be accessible to beginners while also offering opportunities for more experienced students to explore advanced topics. Our goal is to develop members’ understanding of physics, engineering, numerical modelling, and real-world aerodynamic design.",1,monday,period11,A419,0,0,2,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,Aerodynamics & Simulation Club,ACADEMIC Technology and engineering,"Ever wondered why a Formula 1 car sticks to the ground, how aircraft wings generate lift, or how engineers test a design before it is ever built? In this ECA, you will turn your own ideas into 3D models using Rhino, then bring them into STAR-CCM+ to see how air, fluids, heat and other physical forces interact with your designs. Instead of simply learning software, you will work like an engineer: design, simulate, analyze, improve, and test again. Projects may include aerodynamic cars, aircraft wings, drones, turbines, cooling systems, or even designs of your own choice. No previous experience with 3D modelling or simulation is required—we will start from the basics and gradually move toward more advanced projects. If you enjoy engineering, physics, design, cars, aviation, or simply want to see whether your ideas actually work in the real world, this ECA gives you a chance to explore engineering beyond the classroom.",5,tuesday,period11,A406,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,Ai for math,ACADEMIC Mathematics and computer sciences,"We are going to explore interplay between artificial intelligence and mathematics. To be more specific, we will guide how to install Rethlas and how to use it. Then we will teach formalizing math in calculus to help them better understand this topic.",1,thursday,period12,A216,0,10,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,Animal Studies Society,ACADEMIC Natural sciences,"The Animal Science and Welfare Club is a student-led club exploring animal biology, behaviour, health, and welfare. Through discussions, presentations, case studies, interactive activities, and research, members will learn about how animals function, behave, and interact with humans. The club also examines real-world issues such as responsible animal care, conservation, animal ethics, and the challenges faced by animals in different environments. Our aim is to combine scientific knowledge with empathy and encourage students to develop a deeper understanding of animals and our responsibilities towards them.",1,monday,lunchtime,A211,0,0,2,0,0,0,0,5,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,Anime Club,SOCIAL Culture,"We are a vibrant community dedicated to sharing the joy of anime. Our club hosts weekly screenings and anime discussions to explore the diverse culture of Japanese animation. Whether you're a seasoned otaku or a curious newcomer, join us to embark on an exciting journey through the world of anime!",1,tuesday,period11,A416,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,AnthroPulse,SOCIAL Interests and hobbies,"The AnthnoPulse Lab is an anthropology-focused club dedicated to uncovering the hidden meanings in everyday life. We treat our school and city as living field sites, investigating how objects, spaces, and routines reflect human behavior and social change. Unlike traditional academic clubs, we don’t just read about culture—we go out to observe it. Through systematic fieldwork, interviews, and creative documentation, we explore questions like: How do students personalize their dorm spaces? How do different generations use the same public park? What do market transactions reveal about community values? Each semester, members collaborate on a micro-ethnography project, producing field notes, interview excerpts, and visual responses. The AnthnoPulse club is a space for curious minds to develop observational rigor, cultural empathy, and a nuanced understanding of the diverse communities we inhabit.",1,thursday,period11,A219,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
